PSP:Kinase,count
CDK1,636
PRKACA,571
CSNK2A1,554
SRC,532
PRKCA,468
CDK2,400
MAPK1,393
AKT1,360
MAPK3,340
GSK3B,325
ATM,309
PLK1,299
MAPK14,221
ABL1,218
CHEK1,186
AURKB,173
PRKAA1,164
FYN,144
CSNK1A1,143
MAPK8,141
MTOR,138
PRKDC,137
CDK5,135
CAMK2A,133
AURKA,131
PRKCD,122
ATR,116
PRKCB,104
LYN,95
LCK,94
CSNK1D,88
PRKCZ,88
EGFR,86
IKBKB,81
CDK4,80
LRRK2,77
RPS6KA1,76
PAK1,75
ULK1,75
TBK1,74
AKT2,74
PRKD1,74
GRK2,72
MAPKAPK2,70
CHEK2,70
ROCK1,69
TTK,68
PIM1,67
GSK3A,66
PRKCE,66
SYK,61
HIPK2,58
TRPM7,55
PRKG1,54
RPS6KB1,54
CSNK1E,53
MAPK9,52
SGK1,52
RPS6KA3,51
CDK9,50
CDC7,49
CDK7,48
PRKAA2,46
PRKCQ,44
CDK6,44
PRKCI,43
CHUK,43
DYRK2,42
IKBKE,41
STK11,40
STK4,40
INSR,38
JAK2,38
PAK2,37
MAP3K7,36
NEK2,36
STK3,35
MAPK11,34
IRAK4,33
RET,33
PDPK1,33
PRKCG,30
PLK3,30
PDGFRB,30
DYRK1A,29
MAPK12,29
FGFR1,29
MET,28
IGF1R,28
BUB1,27
PTK2,27
MAP3K5,27
MELK,26
HCK,26
MAP3K8,24
YES1,24
NLK,24
ZAP70,24
CDKL5,24
MAPK13,23
MAPK7,23
DAPK1,23
MARK2,23
ROCK2,23
PLK4,23
JAK3,22
NEK6,22
LATS1,22
GRK5,21
CSNK2A2,21
DAPK3,21
LATS2,21
FER,21
MAP2K1,20
EIF2AK2,20
PAK4,20
BRAF,19
BMX,19
SRPK1,19
CAMK2D,18
BTK,18
ABL2,18
AKT3,18
PINK1,17
RPS6KA5,17
PRKD2,17
ERBB2,17
OXSR1,17
CAMK1,17
BCR/ABL,17
LRRK1,16
CDK3,16
TGFBR2,16
PTK6,15
PTK2B,15
PLK2,15
PRKG2,15
JAK1,15
MAP3K14,15
PRKCH,15
GRK3,15
PIM2,14
VRK2,14
IRAK1,14
AXL,14
CDK8,14
CLK1,14
KIT,14
STK26,13
FLT3,13
VRK1,13
EEF2K,13
STK39,13
CSNK2B,13
TNK2,13
MAPK15,12
FGR,12
MAP3K11,12
GRK4,12
ALK,12
SIK2,12
RAF1,12
EPHA2,12
ITK,12
MAP2K4,11
MKNK1,11
FGFR3,11
STK24,11
MAPKAPK5,11
PKM,11
CAMK4,11
NEK1,11
MAP4K4,11
CLK2,11
FAM20C,10
STK38,10
PBK,10
DYRK1B,10
MAPK10,10
TYK2,10
TLK1,10
CDK14,10
MAP2K6,10
ULK2,10
RPS6KB2,9
SGK3,9
TEC,9
WNK1,9
PAK6,9
MERTK,9
PRKAB1,9
PRKAG2,9
TTBK2,8
MAP3K3,8
PKN1,8
CSK,8
GRK6,8
BRSK1,8
TAOK1,8
RIPK3,8
NTRK1,8
CSNK1G1,8
MARK3,8
NUAK1,8
TGFBR1,8
PAK5,7
MAP3K10,7
NEK7,7
MST1R,7
MAP2K7,7
AURKC,7
ILK,7
CSNK1G2,7
UHMK1,7
MAP4K3,7
MAP3K1,7
KDR,7
CAMK2B,7
SMG1,6
MKNK2,6
FLT1,6
BMPR1B,6
NEK9,6
BLK,6
PDGFRA,6
MAP2K3,6
PRKD3,6
MAP4K1,6
CDK19,6
RPS6KA2,6
ARAF,6
PRKACB,6
FGFR2,6
PDK1,6
STK38L,6
CAMKK2,6
CAMKK1,6
RIPK1,6
RIPK2,6
PIM3,6
NTRK2,5
CDC42BPA,5
PDK2,5
NPM/ALK,5
PDK4,5
TAOK2,5
ULK3,5
CAMK2G,5
SLK,5
WNK4,5
SRMS,5
FRK,5
PGK1,5
MAP3K6,5
MYO3A,5
MAPK6,5
STK25,5
MYLK,5
ALPK3,5
EIF2AK4,5
PASK,5
CASK,5
MINK1,5
CDK13,5
PIK3CG,5
PIK3CA,5
TAF1,4
STK16,4
EPHB2,4
PNCK,4
GTF2F1,4
NME1,4
HIPK1,4
MYLK3,4
WEE1,4
ACVRL1,4
CDK16,4
SGK2,4
STK10,4
MARK1,4
BRSK2,4
TNIK,4
EIF2AK3,4
PDK3,4
CSF1R,4
WNK3,4
RPS6KA4,4
MAP4K2,4
EPHA4,4
SRPK2,4
CSNK1G3,4
NEK11,4
FES,4
MAP3K20,4
CDK11A,3
CLK4,3
MATK,3
BCR,3
CIT,3
FGFR4,3
MAP3K2,3
ERBB4,3
SIK1,3
WNK2,3
NME2,3
CDC42BPB,3
LIMK2,3
PKN2,3
MAPKAPK3,3
MAP2K2,3
LMTK2,3
BLVRA,3
CDK18,3
NEK3,2
MAP3K4,2
ACVR1B,2
RPS6KA6,2
CDK10,2
TYRO3,2
PCK1,2
EIF2AK1,2
AAK1,2
MAK,2
DDR1,2
LIMK1,2
CDK20,2
CDK11B,2
PIK3C2A,2
TXK,2
BMP2K,2
GAK,2
CDK12,2
MASTL,2
PKN3,2
DAPK2,2
DYRK3,2
STYK1,2
MAP2K5,2
CILK1,2
TLK2,2
MOS,2
TEK,2
MAP3K12,2
PKMYT1,2
PRKX,2
GRK1,2
PRPF4B,1
STK33,1
RIOK1,1
EPHA1,1
HSPA5,1
EPHB1,1
VRK3,1
ALPK1,1
TRPM6,1
MYLK2,1
GRK7,1
HIPK3,1
DCLK1,1
DMPK,1
ENPP3,1
NUAK2,1
EPHA7,1
FLT4,1
EPHA8,1
EPHA6,1
TESK1,1
EPHA5,1
DYRK4,1
ERN1,1
LTK,1
MAP3K21,1
PIK3CD,1
CAMK1G,1
STK19,1
TRIB2,1
CSNK1A1L,1
CDK15,1
CDKL2,1
CKB,1
PFKFB3,1
TP53RK,1
STK17A,1
AATK,1
DCAF1,1
MARK4,1
TNK1,1
MAP3K13,1
MLKL,1
PHKA1,1
PMVK,1
MAPK4,1
EPHB3,1
CLK3,1
PIK3CB,1
KSR1,1
MAP4K5,1
AK2,1
ADCK5,1
PFKP,1
ROR1,1
CERT1,1
NEK5,1
TSSK4,1
RIOK3,1
KHK,1
PIK3R1,1
HUNK,1
